Date,Company,Close_Price,Actual_Target,Predicted_Signal,Signal_Probability,Signal_Strength,Correct_Prediction,Signal_Direction,Actual_Direction,Warning
2022-01-13,GOOGL,0.6813450258710687,1,0,0.33976066,0.32047868,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-13,MSFT,-1.585908300954201,0,0,0.32972112,0.34055775,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-13,AAPL,-2.682015839400695,0,0,0.32783997,0.34432006,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-13,TSLA,0.7661823078848959,1,0,0.33431736,0.3313653,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-13,AMZN,-0.1315563352962917,1,0,0.3575973,0.28480542,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-14,MSFT,0.3416850604325803,1,0,0.38722575,0.2255485,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-14,GOOGL,-0.6980027314079859,0,0,0.41773942,0.16452116,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-14,AMZN,-1.2914675605824215,1,0,0.44968316,0.10063368,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-14,AAPL,0.6538050303814844,0,0,0.47122112,0.05755776,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-14,TSLA,1.2529889833816898,0,0,0.48238787,0.03522426,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-15,GOOGL,0.10307060859644013,1,0,0.48518768,0.029624641,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-15,AMZN,-2.1027880640643817,0,0,0.48122314,0.037553728,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-15,TSLA,0.6505736283348974,0,0,0.46338066,0.07323867,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-15,MSFT,0.04707921125353055,1,0,0.44718403,0.10563195,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-15,AAPL,-1.2566757945697882,0,0,0.44055772,0.11888456,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-16,GOOGL,-0.7140678255080808,0,0,0.446101,0.10779798,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-16,MSFT,-0.17912829848117526,0,0,0.4688789,0.06224221,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-16,AAPL,-0.9404266401135525,1,1,0.5092893,0.018578649,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-16,AMZN,0.4684257817347986,1,1,0.5524035,0.10480702,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-16,TSLA,-0.6814372472840612,0,1,0.5886415,0.17728305,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-17,AMZN,0.32196270285267214,0,1,0.6158791,0.23175824,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-17,TSLA,-0.5052759871907059,1,1,0.63209033,0.26418066,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-17,GOOGL,2.4670308847232083,1,1,0.63497055,0.2699411,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-17,AAPL,0.02852199349328872,0,1,0.63369596,0.26739192,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-17,MSFT,-1.6502042525654457,1,1,0.619207,0.23841405,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-18,TSLA,-0.9102703085611611,0,1,0.58954895,0.17909789,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-18,AMZN,0.38432254893704404,1,1,0.5416906,0.083381176,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-18,MSFT,0.28939769662867026,1,0,0.49323782,0.0135243535,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-18,GOOGL,-0.028652735476916037,1,0,0.4697865,0.06042701,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-18,AAPL,-0.7292279602220842,1,0,0.45738244,0.08523512,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-19,AAPL,-0.8663894234877718,0,0,0.4630843,0.07383138,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-19,AMZN,1.1166662424197764,1,0,0.47380453,0.052390933,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-19,GOOGL,1.0746409839092022,1,0,0.49875897,0.0024820566,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-19,TSLA,1.2779914768998832,1,1,0.5343455,0.068691015,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-19,MSFT,0.9013936979747385,1,1,0.5675503,0.1351006,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-20,TSLA,-2.524962630712929,0,1,0.5854157,0.17083144,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-20,GOOGL,0.4068172272030451,0,1,0.58349097,0.16698194,0,Bullish,Bearish,OPPOSITE_PREDICTION
